,Grade,Video Uploads,Subscribers,Video views
562,A ,610,5764155,3566555551
563,A ,190,1223298,792518546
564,A ,1094,3309979,2994976793
565,A ,4285,3092017,2195967295
566,A ,66356,2516177,1876741442
567,A ,26768,2742853,524535242
568,A ,64,2290985,813145985
569,A ,224,4840192,2358786455
570,A ,446,1153411,542946954
571,A ,15535,1174437,1088662780
572,A ,1220,3193506,1667607612
573,A ,109223,6055077,2206306855
574,A ,55,2711107,1041616897
575,A ,379,203695,256308148
576,A ,63174,6859179,3100755270
577,A ,657,2087554,744344557
578,A ,377,1016229,629328264
579,A ,9509,3169606,2278075738
580,A ,909,5271676,1554866686
582,A ,24763,2544005,1552015064
583,A ,41,2029968,605160228
584,A ,171,4922786,2433450096
585,A ,330,2554930,839410895
587,A ,18762,1667660,2549504841
588,A ,14,224360,67934584
589,A ,781,2903276,1080070185
590,A ,283,3243914,2058161021
591,A ,69,3784667,2024315426
592,A ,5301,1681184,1469488817
593,A ,1094,4272495,2347360575
594,A ,3316,2985322,1583077388
595,A ,3531,12820630,6534665554
596,A ,188,12741051,7241517056
597,A ,1341,6802318,2596161381
598,A ,8791,3406033,1276040040
599,A ,3619,10136755,9350864007
600,A ,43526,2510230,3072967216
601,A ,5120,3701788,283818023
602,A ,434,12412173,2199756620
603,A ,24,5699111,2883573314
604,A ,91,11509478,1901823651
605,A ,14,2185504,313830250
606,A ,626,7707410,1669688712
607,A ,318,1825702,569564874
608,A ,5044,3225557,2115150985
609,A ,6302,3048980,2624944899
610,A ,17808,3856456,4195576436
611,A ,449,2287370,1180128215
612,A ,797,3939796,1165256026
613,A ,31,16270830,7414111263
614,A ,2002,3924674,2862958130
615,A ,274,5758203,3726769590
616,A ,2266,9780213,1776253889
617,A ,16679,2995436,1951629262
618,A ,239,320217,173689542
619,A ,813,1625757,565047761
620,A ,349,1279091,407052127
621,A ,1158,5038308,927598787
622,A ,333,125969,50494550
623,A ,6687,2745028,1603534317
624,A ,30,1775977,1236215977
626,A ,2274,2227003,1080825285
627,A ,4656,4856911,2825580808
628,A ,1,2162992,333012122
629,A ,1074,570731,541959488
630,A ,106,26582805,13103339807
631,A ,212,760826,246250847
632,A ,98,2843375,322258943
633,A ,68,3840012,2543978649
634,A ,98,6432043,712863538
635,A ,31607,1933260,889951998
636,A ,1747,5901410,3359105465
638,A ,12571,2675689,2581487588
639,A ,213,6896766,1594931178
640,A ,31487,1874934,1352338732
641,A ,990,1916774,721909693
642,A ,212,7316952,3520693782
643,A ,2135,10917075,6736575829
644,A ,450,4646803,682210118
645,A ,672,3459118,1277457875
646,A ,121,3965541,643212922
647,A ,3581,1468551,721016795
648,A ,100,7405915,5633320640
649,A ,831,1139539,941356209
650,A ,4296,6913518,3518912919
651,A ,2062,14137878,4658271692
652,A ,84,2095557,627730125
653,A ,1197,8762986,5623751087
654,A ,266,2209750,1233083120
655,A ,22484,1418544,1148673214
656,A ,1244,11445353,5304390859
657,A ,228,711859,203575222
658,A ,8906,9260318,2644227075
659,A ,11638,3640005,2023481900
660,A ,355,302828,42801078
661,A ,449,7534189,1544349168
662,A ,255,2017216,990613385
663,A ,679,1875452,622346812
664,A ,124,3887565,958050672
665,A ,983,2329068,4995638741
666,A ,4603,1487664,1916088745
667,A ,1976,4581188,5385287373
668,A ,90,177222,57915194
669,A ,336,4681857,1147641963
670,A ,200,1101045,348972844
671,A ,717,4577242,1282419642
672,A ,44863,981511,2021738000
673,A ,317,2725958,1668191191
674,A ,159,1127860,173527687
675,A ,1145,2027574,2697937430
676,A ,15,1323502,73396246
677,A ,405,2796285,593260102
678,A ,369,105359,90178358
679,A ,5372,1336512,1169745170
680,A ,802,2189918,1087106753
681,A ,1208,3087993,1695715957
682,A ,2905,8818251,3306593484
683,A ,175,5362718,2420126265
684,A ,344,2197733,1084156197
685,A ,3964,2667123,1946223024
687,A ,355,931567,840724889
688,A ,449,2099865,555762465
689,A ,607,2843068,1435280878
690,A ,569,29325333,6961274106
691,A ,4425,2340040,1122121854
692,A ,82,1001085,267811850
693,A ,2391,1671755,1021507665
694,A ,1050,3795996,1128218754
695,A ,1312,3351802,1565809530
696,A ,823,2385627,3210778735
697,A ,938,1821509,585441278
698,A ,7106,2908355,1793225350
699,A ,1202,11058659,2616585255
700,A ,110,82895,43465545
701,A ,191,1486692,449864760
702,A ,1855,4706065,1192397077
703,A ,169,1357067,405266486
704,A ,2077,9972603,3933001232
705,A ,389,7546352,1668041209
706,A ,32887,2611322,2391540342
707,A ,125240,1452863,1118975963
708,A ,359,5733171,1105942548
709,A ,183,1852869,1398222403
710,A ,1209,1147779,596446534
711,A ,417,1017733,392018272
712,A ,1231,842216,342871421
713,A ,16012,2265698,1304621636
714,A ,501,2361915,1846665320
715,A ,4226,1696481,1886195776
716,A ,346,1391175,914486119
717,A ,2991,2060000,607273422
718,A ,7836,1482849,1428617313
719,A ,3542,773094,436156663
720,A ,42,5367633,2727661186
721,A ,254,3317911,2030131582
722,A ,648,1153818,878464874
724,A ,13,4164551,2024331185
725,A ,49,2206912,1560407218
726,A ,553,1288522,918334115
728,A ,107,4961738,878628083
729,A ,1602,6115299,2336892887
730,A ,1396,2710189,916060445
731,A ,26,586128,81053798
732,A ,5850,2155817,1279950826
733,A ,772,712690,305875204
735,A ,8122,7848629,3903578370
736,A ,587,514604,130874314
737,A ,716,2666131,993667870
738,A ,11,685377,137608382
739,A ,151,1780205,1540413929
740,A ,6080,1317821,1996632685
741,A ,3,112489,39579875
742,A ,238,1018694,328815940
743,A ,368,4345980,2617861225
744,A ,496,2702258,856349812
746,A ,11,330998,140120586
747,A ,302,2570105,684720152
748,A ,728,5161031,3117908234
750,A ,1082,2125228,1595352760
751,A ,126,9775694,1258536015
753,A ,826,956403,409922913
754,A ,904,1802887,587351007
755,A ,439,3209563,1664222907
756,A ,127,1434946,171654347
757,A ,92,6064512,2846915380
758,A ,107,4052452,2297039672
759,A ,118696,1782463,936716854
760,A ,60,523596,136234820
761,A ,3254,3549927,3847340302
762,A ,281,7903277,2458786199
763,A ,824,2042918,900842320
764,A ,213,1882631,607538170
765,A ,1378,3831655,3392507452
766,A ,473,125386,771452351
767,A ,795,4053783,2575684671
768,A ,1436,12463816,2283596294
769,A ,528,7102302,1223384077
771,A ,27,1842272,994135496
772,A ,159,8097091,626825336
773,A ,129941,3719788,2123111920
774,A ,13468,4370772,3256790708
775,A ,2707,2487575,929471020
776,A ,390,8255633,1983873754
777,A ,539,3323045,2397944307
778,A ,7429,2926446,3985485513
779,A ,1438,9651119,1162090232
780,A ,118990,14288254,2649053469
781,A ,92,3407861,707888223
782,A ,1559,9701327,3382625055
783,A ,118,739132,247068708
784,A ,6499,1770727,862401249
785,A ,1610,8870101,4199495678
786,A ,305,1503682,601000054
787,A ,10968,1279906,1406414968
788,A ,80,1591130,357257175
789,A ,416,421050,530877250
790,A ,1323,5028862,1765247403
791,A ,1784,1798282,1513593766
792,A ,132,888824,991619438
793,A ,714,12287090,3495074680
794,A ,12258,1192257,1191217853
795,A ,217,1681952,816548889
796,A ,539,1089695,705469268
797,A ,176,2464814,1404384841
798,A ,572,2152240,890117824
799,A ,13395,2679475,951030662
800,A ,419,3653959,1754760559
801,A ,548,7283780,1457189263
802,A ,3346,1655287,972171613
803,A ,1060,1373353,471424612
